,GRAPH_IDX,NUM_NODES,NUM_EDGES,IS_CONNECTED,LOGRATIO_EDGETONODES,DENSITY,CHROMATIC_NUM,NORM_MIS,SPECTRAL_GAP,LOG_LARGESTEIGVAL,GIRTH,KEMENY_CONSTANT,TRANSITIVITY,LOG_SECONDLARGESTEIGVAL,LOG_SMALLESTEIGVAL,MIN_ECC,MAX_ECC,LOGRATIO_MAXMINECC,GRAPH_ASSORTATIVITY
0,graph_954.pickle,20,40,1,0.6931471805599453,0.21052631578947367,4,0.4,0.08538491654980152,(0.5737369282988052+0j),3,24.73548736,0.19708029197080293,(0.5244340382765216+0j),(-1.490690999686465+0j),3,4,0.28768207245178085,0.04792129
1,graph_3556.pickle,20,64,1,1.1631508098056809,0.3368421052631579,5,0.4,0.00997432572690471,(0.43192082265036946+0j),3,19.93660487,0.391304347826087,(0.42542382427436193+0j),(-0.5862413214054557+0j),2,3,0.4054651081081644,-0.24788967
2,graph_257.pickle,20,20,1,0.0,0.10526315789473684,3,0.5,0.01724992051383034,(0.684105182551753+0j),9,52.54722222,0.0,(0.6753637868601274+0j),(-2.8831129917993166+0j),5,8,0.47000362924573563,-0.2371134
3,graph_2108.pickle,20,31,1,0.4382549309311553,0.1631578947368421,4,0.6,0.08742225008631133,(0.6007615380734673+0j),3,23.94399371,0.22900763358778625,(0.5516324005546521+0j),(-1.385239289117271+0j),3,5,0.5108256237659907,-0.42334199
4,graph_2642.pickle,20,36,1,0.5877866649021191,0.18947368421052632,3,0.45,0.0621872221415245,(0.5563487735155279+0j),3,23.21146534,0.20496894409937888,(0.5200458852161073+0j),(-1.1537025985388096+0j),2,3,0.4054651081081644,-0.35395151
5,graph_4569.pickle,20,25,1,0.22314355131420976,0.13157894736842105,3,0.5,0.025641347542154413,(0.657529488702241+0j),3,40.34604853,0.07142857142857142,(0.6441549000244359+0j),(-2.5263168485869+0j),4,7,0.5596157879354227,0.10714286
6,graph_2444.pickle,20,64,1,1.1631508098056809,0.3368421052631579,5,0.3,0.11132312904512998,(0.4892227172614505+0j),3,20.30947731,0.3582089552238806,(0.4185292741636567+0j),(-0.8147613638638838+0j),2,3,0.4054651081081644,-0.17048729
7,graph_5748.pickle,20,40,1,0.6931471805599453,0.21052631578947367,4,0.35,0.11293835313015776,(0.5795897113175827+0j),3,23.78955538,0.15,(0.5142402492349252+0j),(-1.239240061124532+0j),3,4,0.28768207245178085,
8,graph_5391.pickle,20,20,1,0.0,0.10526315789473684,3,0.45,0.04413345996253448,(0.6901795647967173+0j),3,98.04166667,0.12,(0.6677986575137529+0j),(-4.051765919322395+0j),8,14,0.5596157879354227,-0.19148936
9,graph_632.pickle,20,20,1,0.0,0.10526315789473684,3,0.55,0.03726197975147216,(0.6859748658961712+0j),5,74.345,0.0,(0.6670314698500357+0j),(-3.4310221376441565+0j),7,12,0.5389965007326869,0.02777778
10,graph_2885.pickle,20,50,1,0.9162907318741551,0.2631578947368421,4,0.3,0.030932562388792828,(0.5211844863446502+0j),3,21.43155318,0.15,(0.5026454208551122+0j),(-0.9449926241996274+0j),3,3,0.0,
11,graph_4636.pickle,20,84,1,1.4350845252893227,0.4421052631578947,6,0.3,0.11938201548988303,(0.42345931166245243+0j),3,19.26179904,0.4667609618104668,(0.3420662725929613+0j),(-0.5167813663568108+0j),2,2,0.0,-0.25110964
12,graph_931.pickle,20,105,1,1.6582280766035324,0.5526315789473685,7,0.2,0.036296078076279326,(0.35259877751842805+0j),3,18.85874333,0.5374878286270691,(0.32675669857820533+0j),(-0.3793020842904487+0j),2,2,0.0,-0.08346072
